Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Year,RaceName
0 days 00:29:16.824000,GAS,10,,14.0,1.0,,0 days 00:29:16.873000,0 days 00:00:30.247000,0 days 00:00:24.226000,,0 days 00:27:49.934000,0 days 00:28:14.326000,,265.0,280.0,,280.0,False,ULTRASOFT,13.0,True,Toro Rosso,0 days 00:27:19.617000,,1,18.0,,,False,False,2018,Australian Grand Prix
0 days 00:44:00.061000,PER,11,0 days 00:01:48.875000,24.0,1.0,,0 days 00:43:40.427000,0 days 00:00:30.198000,0 days 00:00:24.283000,0 days 00:00:54.394000,0 days 00:42:41.392000,0 days 00:43:05.675000,0 days 00:44:00.069000,264.0,291.0,,295.0,False,ULTRASOFT,23.0,True,Force India,0 days 00:42:11.186000,,21,13.0,,,False,False,2018,Australian Grand Prix
0 days 00:47:19.130000,ALO,14,0 days 00:02:20.530000,26.0,1.0,,0 days 00:46:59.732000,0 days 00:00:42.712000,0 days 00:00:32.073000,0 days 00:01:05.745000,0 days 00:45:41.347000,0 days 00:46:13.420000,0 days 00:47:19.165000,168.0,205.0,,246.0,False,ULTRASOFT,25.0,True,McLaren,0 days 00:44:58.600000,,26,5.0,,,False,False,2018,Australian Grand Prix
0 days 00:38:12.757000,LEC,16,0 days 00:01:48.767000,20.0,1.0,,0 days 00:37:53.289000,0 days 00:00:30.205000,0 days 00:00:23.992000,0 days 00:00:54.570000,0 days 00:36:54.225000,0 days 00:37:18.217000,0 days 00:38:12.787000,270.0,294.0,,295.0,False,SUPERSOFT,19.0,True,Sauber,0 days 00:36:23.990000,,1,17.0,,,False,False,2018,Australian Grand Prix
0 days 00:50:34.589000,LEC,16,0 days 00:02:19.646000,27.0,2.0,,0 days 00:50:14.593000,0 days 00:00:40.761000,0 days 00:00:32.758000,0 days 00:01:06.127000,0 days 00:48:55.734000,0 days 00:49:28.492000,0 days 00:50:34.619000,187.0,206.0,,195.0,False,SOFT,7.0,True,Sauber,0 days 00:48:14.943000,,64,14.0,,,False,False,2018,Australian Grand Prix
0 days 00:45:58.137000,STR,18,0 days 00:02:00.771000,25.0,1.0,,0 days 00:45:35.482000,0 days 00:00:30.682000,0 days 00:00:24.204000,0 days 00:01:05.885000,0 days 00:44:28.061000,0 days 00:44:52.265000,0 days 00:45:58.150000,264.0,290.0,,281.0,False,SUPERSOFT,24.0,True,Williams,0 days 00:43:57.366000,,126,13.0,,,False,False,2018,Australian Grand Prix
0 days 00:54:05.722000,STR,18,0 days 00:01:52.536000,29.0,2.0,,0 days 00:53:47.069000,0 days 00:00:32.924000,0 days 00:00:25.484000,0 days 00:00:54.128000,0 days 00:52:46.123000,0 days 00:53:11.607000,0 days 00:54:05.735000,234.0,277.0,,261.0,False,SOFT,4.0,True,Williams,0 days 00:52:13.186000,,4,13.0,,,False,False,2018,Australian Grand Prix
0 days 00:45:26.345000,VAN,2,0 days 00:01:48.016000,25.0,1.0,,0 days 00:45:08.049000,0 days 00:00:30.049000,0 days 00:00:24.152000,0 days 00:00:53.815000,0 days 00:44:08.385000,0 days 00:44:32.537000,0 days 00:45:26.352000,266.0,283.0,,278.0,False,ULTRASOFT,24.0,True,McLaren,0 days 00:43:38.329000,,126,7.0,,,False,False,2018,Australian Grand Prix
0 days 00:40:39.633000,MAG,20,0 days 00:01:47.390000,22.0,1.0,,0 days 00:40:20.801000,0 days 00:00:29.749000,0 days 00:00:24.003000,0 days 00:00:53.638000,0 days 00:39:22.043000,0 days 00:39:46.046000,0 days 00:40:39.684000,263.0,284.0,,283.0,False,ULTRASOFT,24.0,False,Haas F1 Team,0 days 00:38:52.243000,,1,9.0,,,False,False,2018,Australian Grand Prix
0 days 00:43:44.390000,HUL,27,0 days 00:01:48.142000,24.0,1.0,,0 days 00:43:24.644000,0 days 00:00:30.002000,0 days 00:00:23.906000,0 days 00:00:54.234000,0 days 00:42:26.284000,0 days 00:42:50.190000,0 days 00:43:44.424000,270.0,293.0,,288.0,False,ULTRASOFT,26.0,False,Renault,0 days 00:41:56.248000,,12,10.0,,,False,False,2018,Australian Grand Prix
0 days 00:09:13.750000,HAR,28,0 days 00:02:05.584000,1.0,,,0 days 00:08:55.152000,,0 days 00:00:26.123000,0 days 00:00:58.018000,,0 days 00:08:16.487000,0 days 00:09:13.931000,258.0,285.0,,263.0,False,nan,,True,Toro Rosso,0 days 00:07:07.988000,,,20.0,,,False,False,2018,Australian Grand Prix
0 days 00:41:45.900000,HAR,28,0 days 00:02:01.527000,22.0,1.0,,0 days 00:41:26.417000,0 days 00:00:30.785000,0 days 00:00:26.591000,0 days 00:01:04.151000,0 days 00:40:15.204000,0 days 00:40:41.795000,0 days 00:41:45.946000,264.0,249.0,,,False,SOFT,21.0,True,Toro Rosso,0 days 00:39:44.373000,,12,17.0,,,False,False,2018,Australian Grand Prix
0 days 00:47:07.600000,RIC,3,0 days 00:02:17.173000,26.0,1.0,,0 days 00:46:48.949000,0 days 00:00:43.039000,0 days 00:00:30.926000,0 days 00:01:03.208000,0 days 00:45:33.472000,0 days 00:46:04.398000,0 days 00:47:07.606000,242.0,209.0,,268.0,False,SUPERSOFT,28.0,False,Red Bull Racing,0 days 00:44:50.427000,,26,4.0,,,False,False,2018,Australian Grand Prix
0 days 00:42:33.703000,OCO,31,0 days 00:01:47.849000,23.0,1.0,,0 days 00:42:15.180000,0 days 00:00:30.072000,0 days 00:00:24.114000,0 days 00:00:53.663000,0 days 00:41:15.926000,0 days 00:41:40.040000,0 days 00:42:33.703000,272.0,292.0,,298.0,False,ULTRASOFT,22.0,True,Force India,0 days 00:40:45.854000,,12,14.0,,,False,False,2018,Australian Grand Prix
0 days 00:39:14.459000,VER,33,0 days 00:01:46.361000,21.0,1.0,,0 days 00:38:56.371000,0 days 00:00:30.064000,0 days 00:00:23.702000,0 days 00:00:52.595000,0 days 00:37:58.170000,0 days 00:38:21.872000,0 days 00:39:14.467000,,293.0,,289.0,False,SUPERSOFT,23.0,False,Red Bull Racing,0 days 00:37:28.098000,,1,13.0,,,False,False,2018,Australian Grand Prix
0 days 00:35:39.149000,HAM,44,0 days 00:01:45.050000,19.0,1.0,,0 days 00:35:20.123000,0 days 00:00:29.209000,0 days 00:00:23.554000,0 days 00:00:52.287000,0 days 00:34:23.323000,0 days 00:34:46.877000,0 days 00:35:39.164000,,290.0,,296.0,False,ULTRASOFT,20.0,False,Mercedes,0 days 00:33:54.099000,,1,2.0,,,False,False,2018,Australian Grand Prix
0 days 00:46:27.991000,VET,5,0 days 00:02:05.108000,26.0,1.0,,0 days 00:46:08.993000,0 days 00:00:30.310000,0 days 00:00:32.642000,,0 days 00:44:53.196000,0 days 00:45:25.838000,,272.0,214.0,,288.0,False,ULTRASOFT,28.0,False,Ferrari,0 days 00:44:22.883000,,26,1.0,,,False,False,2018,Australian Grand Prix
0 days 00:40:56.910000,SAI,55,0 days 00:01:55.942000,22.0,1.0,,0 days 00:40:35.965000,0 days 00:00:30.098000,0 days 00:00:28.905000,0 days 00:00:56.939000,0 days 00:39:31.066000,0 days 00:39:59.971000,0 days 00:40:56.910000,,277.0,,278.0,False,ULTRASOFT,24.0,False,Renault,0 days 00:39:00.968000,,1,15.0,,,False,False,2018,Australian Grand Prix
0 days 00:34:15.487000,RAI,7,0 days 00:01:45.858000,18.0,1.0,,0 days 00:33:56.979000,0 days 00:00:29.467000,0 days 00:00:23.773000,0 days 00:00:52.618000,0 days 00:32:59.107000,0 days 00:33:22.880000,0 days 00:34:15.498000,277.0,291.0,,294.0,False,ULTRASOFT,20.0,False,Ferrari,0 days 00:32:29.629000,,1,3.0,,,False,False,2018,Australian Grand Prix
0 days 00:45:29.420000,BOT,77,0 days 00:01:46.549000,25.0,1.0,,0 days 00:45:10.528000,0 days 00:00:29.468000,0 days 00:00:23.851000,0 days 00:00:53.230000,0 days 00:44:12.346000,0 days 00:44:36.197000,0 days 00:45:29.427000,268.0,288.0,,297.0,False,ULTRASOFT,27.0,False,Mercedes,0 days 00:43:42.871000,,126,9.0,,,False,False,2018,Australian Grand Prix
0 days 00:43:41.044000,GRO,8,0 days 00:01:49.039000,24.0,1.0,,0 days 00:43:20.784000,0 days 00:00:30.104000,0 days 00:00:23.875000,0 days 00:00:55.060000,0 days 00:42:22.142000,0 days 00:42:46.017000,0 days 00:43:41.077000,268.0,293.0,,280.0,False,ULTRASOFT,26.0,False,Haas F1 Team,0 days 00:41:52.005000,,21,7.0,,,False,False,2018,Australian Grand Prix
0 days 00:16:49.586000,ERI,9,,6.0,1.0,,0 days 00:16:49.622000,0 days 00:00:30.840000,0 days 00:00:24.446000,,0 days 00:15:34.313000,0 days 00:15:58.602000,,267.0,285.0,,293.0,False,SUPERSOFT,5.0,True,Sauber,0 days 00:15:03.262000,,2,18.0,,,False,False,2018,Australian Grand Prix
0 days 00:33:01.877000,GAS,10,0 days 00:01:39.656000,15.0,1.0,,0 days 00:33:00.199000,0 days 00:00:31.028000,0 days 00:00:42.250000,0 days 00:00:26.378000,0 days 00:31:53.289000,0 days 00:32:35.539000,0 days 00:33:01.917000,229.0,253.0,,284.0,False,SUPERSOFT,17.0,False,Toro Rosso,0 days 00:31:22.221000,,1,5.0,,,False,False,2018,Bahrain Grand Prix
0 days 01:03:52.545000,GAS,10,0 days 00:01:39.077000,34.0,2.0,,0 days 01:03:51.038000,0 days 00:00:30.989000,0 days 00:00:41.737000,0 days 00:00:26.351000,0 days 01:02:44.497000,0 days 01:03:26.234000,0 days 01:03:52.585000,,248.0,,279.0,False,SOFT,19.0,True,Toro Rosso,0 days 01:02:13.468000,,1,5.0,,,False,False,2018,Bahrain Grand Prix
0 days 00:23:32.236000,PER,11,0 days 00:01:41.242000,9.0,1.0,,0 days 00:23:30.511000,0 days 00:00:30.907000,0 days 00:00:43.131000,0 days 00:00:27.204000,0 days 00:22:21.924000,0 days 00:23:05.055000,0 days 00:23:32.259000,237.0,245.0,,325.0,False,SOFT,8.0,True,Force India,0 days 00:21:50.994000,,1,15.0,,,False,False,2018,Bahrain Grand Prix
0 days 01:01:19.985000,PER,11,0 days 00:01:40.363000,32.0,2.0,,0 days 01:01:18.388000,0 days 00:00:30.959000,0 days 00:00:42.593000,0 days 00:00:26.811000,0 days 01:00:10.604000,0 days 01:00:53.197000,0 days 01:01:20.008000,236.0,251.0,,306.0,False,MEDIUM,23.0,True,Force India,0 days 00:59:39.622000,,1,12.0,,,False,False,2018,Bahrain Grand Prix
